Registration.Vehicle.Driver($MD),Anmeldung.Fahrzeug.Fahrer($MD),siehe Daten zu @Fahrer (Key: Führerscheinnummer),,,
Registration.Vehicle.FuhrunternehmerAuftraggebenderFU,Anmeldung.Fahrzeug.FuhrunternehmerAuftraggebenderFU,(vgl. §7 c GüKG) („Sofa“) ,,,
Registration.Vehicle.FuhrunternehmerDurchführenderFU,Anmeldung.Fahrzeug.FuhrunternehmerDurchführenderFU,(vgl. §7 c GüKG) („Sub“),,,
Registration.Vehicle.Deliverytime,Anmeldung.Fahrzeug.Anlieferzeitpunkt(request),(request),,,
Registration.Vehicle.LU.Order($PD),Anmeldung.Fahrzeug.LE.Auftrag($PD),siehe Daten zu @LE-Order,,,
Registration.Barge,Anmeldung.Binnenschiff,PD,,,
Registration.Barge,Anmeldung.Binnenschiff($MD),"siehe Daten zu @Binnenschiff (Key: MMSI, ENI)",,,
Registration.Barge.ETA,Anmeldung.Binnenschiff.Ankunft,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Registration.Barge.ETD,Anmeldung.Binnenschiff.Abfahrt,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Registration.Barge.VolumeToDischarge,Anmeldung.Binnenschiff.UmschlagsmengeZuEntladen,LE,,,
Registration.Barge.VolumeToLoad,Anmeldung.Binnenschiff.UmschlagsmengeZuBeladen,LE,,,
Processing.Barge,Abfertigung.Binnenschiff,PD,,,
Processing.Barge.Barge($MD),Abfertigung.Binnenschiff($MD),"siehe Daten zu @Binnenschiff (Key: MMSI, ENI)",,,
Processing.Barge.ETA,Abfertigung.Binnenschiff.Ankunft,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Processing.Barge.ETD,Abfertigung.Binnenschiff.Abfahrt,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Processing.Barge.Skipper($MD),Abfertigung.Binnenschiff.Schiffsführer($MD),{1} siehe Daten zu @Schiffsführer,,,
Processing.Barge.Passenger($MD),Abfertigung.Binnenschiff.Passagier($MD),{1-n} siehe Daten zu @Person,,,
Processing.Barge.ReeferConnections,Abfertigung.Binnenschiff.Reeferanschlüsse,#,,,
Processing.Barge.DangerousGoodsIndication,Abfertigung.Binnenschiff.Gefahrgutindikation,,,,
Processing.Barge.Cone,Abfertigung.Binnenschiff.Kegel,,,,
Processing.Barge.ADNR,Abfertigung.Binnenschiff.ADNR,"Eignung, falls [Abfertigung.Barge.Kegel] > 0",,,
Processing.Barge.LoadingList.LU.Order($PD),Abfertigung.Binnenschiff.Ladeliste.LE.Auftrag($PD),"{1-n}, siehe Daten zu @LE.Auftrag",,wo ist Ladeliste?,
Processing.Barge.LoadingList.StoragePosition,Abfertigung.Binnenschiff.Ladeliste.Lagerposition,Bay/Row/Tier,,wo ist Ladeliste?,
Processing.Barge.Manifest,Abfertigung.Binnenschiff.Manifest,"inkl. Zolldokumente, Reefer, GG, etc. (siehe LE)",,,
Registration.Train,Anmeldung.Zug,PD,,,
Registration.Train.TrainNumber,Anmeldung.Zug.Zugnummer,,,,
Registration.Train.EVU($MD),Anmeldung.Zug.EVU($MD),siehe Daten zu @Operator,,,
Registration.Train.Operator($MD).Name,Anmeldung.Zug.Operator($MD),siehe Daten zu @Operator; sofern von EVU abweicht,,,
Registration.Train.TerminalETA,Anmeldung.Zug.TerminalAnkunft,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
